"CODIGO,""RUBRO"",""VALOR""";;;;
"O212020200703,""Servicios de arrendamiento o alquiler sin operario"",""364,700,000""";;;;
"O21202020070373311,""Derechos de uso de programas informáticos"",""364,700,000""";;;;
"O2120202008,""Servicios prestados a las empresas y servicios de producción"",""1,178,400,000""";;;;
"O212020200802,""Servicios jurídicos y contables"",""7,400,000""";;;;
"O21202020080282130,""Servicios de documentación y certificación jurídica"",""7,400,000""";;;;
"O212020200803,""Servicios profesionales, científicos y técnicos (excepto los servicios de investigación, urbanismo, jurídicos y de contabilidad)"",";;;;
"O21202020080383444,""Servicios de inspección técnica de vehículos de transporte terrestre"",";;;;
"O212020200804,""Servicios de telecomunicaciones, transmisión y suministro de información"",""427,000,000""";;;;
"O21202020080484120,""Servicios de telefonía fija (acceso)"",""107,000,000""";;;;
"O21202020080484131,""Servicios móviles de voz"",""800,000""";;;;
"O21202020080484222,""Servicios de acceso a Internet de banda ancha"",""118,000,000""";;;;
"O21202020080484290,""Otros servicios de telecomunicaciones vía Internet"",""201,200,000""";;;;
"O212020200805,""Servicios de soporte"",""641,800,000""";;;;
"O21202020080585250,""Servicios de protección (guardas de seguridad)"",""361,600,000""";;;;
"O21202020080585330,""Servicios de limpieza general"",""275,000,000""";;;;
"O21202020080585951,""Servicios de copia y reproducción"",""5,200,000""";;;;
"O212020200807,""Servicios de mantenimiento, reparación e instalación (excepto servicios de construcción)"",""102,200,000""";;;;
"O21202020080787130,""Servicios de mantenimiento y reparación de computadores y equipos periféricos"",""87,500,000""";;;;
"O2120202008078714102,""Servicio de mantenimiento y reparación de vehículos automóviles"",""12,500,000""";;;;
"O2120202008078715999,""Servicio de mantenimiento y reparación de otros equipos n.c.p."",""2,200,000""";;;;
"O2120202009,""Servicios para la comunidad, sociales y personales"",""198,000,000""";;;;
"O212020200901,""Servicios de la administración pública y otros servicios prestados a la comunidad en general";" servicios de seguridad social de afiliación obligatoria"",";;;
"O21202020090191191,""Servicios administrativos relacionados con los trabajadores estatales"",";;;;
"O212020200902,""Servicios de educación"",""40,500,000""";;;;
"O21202020090292913,""Servicios de educación para la formación y el trabajo"",""40,500,000""";;;;
"O212020200903,""Servicios para el cuidado de la salud humana y servicios sociales"",""56,700,000""";;;;
"O21202020090393199,""Otros servicios sanitarios n.c.p."",""56,700,000""";;;;
"O212020200904,""Servicios de alcantarillado, recolección, tratamiento y disposición de desechos y otros servicios de saneamiento ambiental"",""800,000""";;;;
"O21202020090494110,""Servicios de alcantarillado y tratamiento de aguas residuales"",""800,000""";;;;
"O212020200906,""Servicios recreativos, culturales y deportivos"",""100,000,000""";;;;
"O21202020090696620,""Servicios de apoyo relacionados con el deporte y la recreación"",""100,000,000""";;;;
"O2120202010,""Viáticos de los funcionarios en comisión"",";;;;
"O218,""Gastos por tributos, tasas, contribuciones, multas, sanciones e intereses de mora"",""200,000""";;;;
"O21801,""Impuestos"",""200,000""";;;;
"O2180151,""Impuesto sobre vehículos automotores"",""200,000""";;;;
"O23,""Inversión"",""35,502,671,000""";;;;
"O2301,""DIRECTA"",""35,502,671,000""";;;;
"O230117,""Bogotá Camina Segura"",""35,502,671,000""";;;;
"O23011745,""Gobierno Territorial"",""35,502,671,000""";;;;
"O2301174501,""Fortalecimiento de la convivencia y la seguridad ciudadana"",""24,276,525,000""";;;;
"O230117450120240010,""Consolidación de la defensa del espacio espacio público y la apropiación del patrimonio inmobiliario de Bogotá D.C."",""14,460,510,000""";;;;
"O230117450120240022,""Generación de proyectos de bienestar con enfoque de género, poblacional y diferencial en espacios públicos de Bogotá D.C."",""2,500,000,000""";;;;
"O230117450120240059,""Fortalecimiento del proceso de actualización del inventario de uso Público y Bienes Fiscales en Bogotá D.C"",""7,316,015,000""";;;;
"O2301174599,""Fortalecimiento a la gestión y dirección de la administración pública territorial"",""11,226,146,000""";;;;
"O230117459920240108,""Implementación de la estrategia de fortalecimiento de la gestión institucional y operativa para mejorar el servicio a la ciudadanía en Bogotá D.C"",""6,788,139,000""";;;;
"O230117459920240168,""Fortalecimiento de las TIC para apalancar la capacidad institucional del espacio público en Bogotá D.C"",""4,438,007,000""";;;;
Fuente: SECRETARÍA DISTRITAL DE HACIENDA – Dirección Distrital de Presupuesto,,;;;;
